315: {'n': '?', 's': '?', 'e': '?', 'w': 251}
251: {'n': '?', 's': '?', 'e': 315, 'w': 193}
193: {'n': '?', 's': '?', 'e': 251, 'w': 154}
37: {'n': '?', 's': '?', 'e': '?', 'w': 14}
5: {'n': '?', 's': '?', 'e': '?', 'w': 3}
130: {'n': '?', 's': '?', 'e': '?', 'w': 83}
411: {'n': '?', 's': '?', 'e': '?', 'w': 268}
436: {'n': '?', 's': 350, 'e': '?', 'w': '?'}
481: {'n': '?', 's': 404, 'e': '?', 'w': '?'}
404: {'n': 481, 's': '?', 'e': '?', 'w': 350}
350: {'n': 436, 's': 332, 'e': 404, 'w': '?'}
332: {'n': 350, 's': 328, 'e': '?', 'w': '?'}
357: {'n': '?', 's': '?', 'e': '?', 'w': 328}
441: {'n': '?', 's': 372, 'e': '?', 'w': '?'}
372: {'n': 441, 's': 363, 'e': '?', 'w': '?'}
363: {'n': 372, 's': '?', 'e': 328, 'w': '?'}
328: {'n': 332, 's': 312, 'e': 357, 'w': 363}
312: {'n': 328, 's': '?', 'e': 268, 'w': '?'}
268: {'n': '?', 's': 203, 'e': 411, 'w': 312}
311: {'n': '?', 's': '?', 'e': '?', 'w': 299}
299: {'n': '?', 's': '?', 'e': 311, 'w': 203}
203: {'n': 268, 's': 165, 'e': 299, 'w': '?'}
219: {'n': '?', 's': 204, 'e': '?', 'w': '?'}
368: {'n': '?', 's': 234, 'e': '?', 'w': '?'}
461: {'n': '?', 's': 457, 'e': '?', 'w': '?'}
457: {'n': 461, 's': 426, 'e': '?', 'w': '?'}
426: {'n': 457, 's': 422, 'e': '?', 'w': '?'}
422: {'n': 426, 's': 302, 'e': '?', 'w': '?'}
302: {'n': 422, 's': 284, 'e': '?', 'w': '?'}
459: {'n': '?', 's': '?', 'e': 458, 'w': '?'}
458: {'n': '?', 's': 408, 'e': '?', 'w': 459}
470: {'n': '?', 's': 454, 'e': '?', 'w': '?'}
454: {'n': 470, 's': '?', 'e': 423, 'w': '?'}
423: {'n': '?', 's': '?', 'e': 408, 'w': 454}
408: {'n': 458, 's': 361, 'e': '?', 'w': 423}
361: {'n': 408, 's': 303, 'e': '?', 'w': '?'}
469: {'n': '?', 's': '?', 'e': 425, 'w': '?'}
425: {'n': '?', 's': 418, 'e': '?', 'w': 469}
474: {'n': 418, 's': '?', 'e': '?', 'w': '?'}
418: {'n': 425, 's': 474, 'e': 415, 'w': '?'}
415: {'n': '?', 's': '?', 'e': 406, 'w': 418}
406: {'n': '?', 's': 405, 'e': '?', 'w': 415}
405: {'n': 406, 's': '?', 'e': 303, 'w': '?'}
303: {'n': 361, 's': '?', 'e': 284, 'w': 405}
284: {'n': 302, 's': 252, 'e': '?', 'w': 303}
252: {'n': 284, 's': '?', 'e': 234, 'w': '?'}
234: {'n': 368, 's': 216, 'e': '?', 'w': 252}
263: {'n': 218, 's': '?', 'e': '?', 'w': '?'}
447: {'n': '?', 's': 445, 'e': '?', 'w': '?'}
450: {'n': '?', 's': '?', 'e': 445, 'w': '?'}
445: {'n': 447, 's': '?', 'e': 339, 'w': 450}
339: {'n': '?', 's': '?', 'e': 287, 'w': 445}
287: {'n': '?', 's': 242, 'e': '?', 'w': 339}
